distance_to_city_center,rooms,size,price
2.4,1.0,19.35,191.565
2.4,2.0,13.08,221.568
5.0,1.0,24.66,185.936
1.9,1.0,24.82,275.502
1.9,1.0,25.39,241.205
5.9,1.0,25.54,193.052
3.0,1.0,25.62,231.861
9.0,1.0,26.04,151.757
8.4,1.0,26.26,172.003
8.4,1.0,26.26,175.952
2.5,1.0,26.6,234.08
6.7,1.0,26.87,185.967
8.5,1.0,27.85,185.025
2.4,2.0,27.86,261.884
3.4,1.0,27.93,235.8
2.3,1.0,28.32,357.511
1.4,3.0,29.0,287.1
2.0,1.0,29.91,297.605
1.9,2.0,30.83,292.882
6.3,2.0,31.68,234.432
5.9,2.0,32.02,232.113
7.4,2.0,32.22,209.43
2.7,2.0,34.32,272.844
7.4,2.0,34.32,223.08
4.0,2.0,34.78,290.739
7.6,2.0,35.01,224.064
7.1,2.0,37.11,241.215
4.9,2.0,37.41,299.28
5.5,2.0,38.7,255.42
1.5,3.0,29.0,287.0
8.7,3.0,45.15,234.735
2.5,3.0,48.17,349.233
9.0,3.0,48.52,272.227
6.4,3.0,49.42,325.777
5.7,3.0,49.44,360.418
3.8,3.0,50.91,459.993
7.6,3.0,51.9,321.98
4.1,3.0,52.4,393.0
3.4,3.0,52.7,375.852
4.7,3.0,53.61,427.023
7.4,3.0,53.83,339.129
7.4,3.0,53.86,350.9
2.9,3.0,54.18,409.836
7.7,3.0,54.9,334.89
4.4,3.0,54.92,389.932
5.3,3.0,54.97,417.0
6.7,3.0,55.1,413.25
4.4,4.0,67.35,451.245
4.1,4.0,67.73,504.589
9.2,4.0,68.6,418.46
5.1,4.0,70.1,455.65
4.0,4.0,70.16,614.809
6.0,4.0,70.81,485.261
4.4,4.0,71.81,495.489
4.6,4.0,72.02,555.0
1.8,4.0,74.36,714.183
5.3,4.0,75.59,521.571
3.3,4.0,75.92,529.753
2.7,5.0,83.0,680.6
5.9,5.0,85.09,680.0
8.0,5.0,86.86,464.18
7.6,5.0,87.91,483.505
7.1,5.0,96.21,692.712
3.0,5.0,99.0,782.1
6.6,5.0,100.88,700.0
3.5,5.0,106.96,808.144
1.9,2.0,30.83,292.885
6.0,2.0,36.95,229.09
4.4,2.0,39.59,285.048
5.4,2.0,40.69,287.6
6.3,2.0,41.25,284.625
5.4,2.0,41.31,325.0
3.0,2.0,41.94,373.088
11.3,1.0,34.18,177.702
4.0,2.0,34.3,264.11
6.4,2.0,34.4,242.52
